age,Q_trop_high,Q_trop_mid,Q_trop_low,Q_stra_high,Q_stra_mid,Q_stra_low,EDML,GRIP
6980,0.48548784,0.501968524,0.254822347,1.922387657,0.904856538,0.081189981,4.367738349,4.218065095
7000,0.485105903,0.50250788,0.255607432,1.920314372,0.905695334,0.08148323,4.271276574,4.229861183
7020,0.450624562,0.477702118,0.251553392,1.737037511,0.843869084,0.080108381,4.211934595,4.32786601
7040,0.435096011,0.46680216,0.250161913,1.655799544,0.816717945,0.079653197,4.054253236,4.304930911
7060,0.456777259,0.484295164,0.2546841,1.769254741,0.858790175,0.08124961,3.916825825,4.123296357
7080,0.460591234,0.488303168,0.256589083,1.789224064,0.867908445,0.081945251,3.940883663,3.993957002
7100,0.467554674,0.494761763,0.259008985,1.825674247,0.88300226,0.082819982,4.163188159,3.993847995
7120,0.507357284,0.525416798,0.265960305,2.041998404,0.959398533,0.085268314,4.229214047,3.967645878
7140,0.598959505,0.590548625,0.27826515,2.575842991,1.131281506,0.089589494,4.551000204,5.208081748
7160,0.595505089,0.589498077,0.27916549,2.554830977,1.12753108,0.089936721,4.967395473,5.118964597
7180,0.471384989,0.501809053,0.264455966,1.845768067,0.897792635,0.084840247,4.957908422,4.848374722
7200,0.45049336,0.486462163,0.262195674,1.736452655,0.859766795,0.084083687,4.601150477,5.18410597
7220,0.521880017,0.541344697,0.273818478,2.122805175,0.996817359,0.088158156,4.473429742,4.649448629
7240,0.582862692,0.585377484,0.282267412,2.477916384,1.11312284,0.091134548,4.855669315,5.280578318
7260,0.55581057,0.567217176,0.27981738,2.317786826,1.063827339,0.090296588,5.011500416,5.599572205
7280,0.508476902,0.533517721,0.274270149,2.048227287,0.975410565,0.088374327,4.633897779,4.763623495
7300,0.515740611,0.53953689,0.275933978,2.087933294,0.990308056,0.088970304,4.362312885,4.6995684
7320,0.520897618,0.543785515,0.277159735,2.11721131,1.001046837,0.089412234,4.460965613,4.676591711
7340,0.488716685,0.519875686,0.272829957,1.940251468,0.940089874,0.087907936,4.506852194,4.927396256
7360,0.480306433,0.513667783,0.271773951,1.894288836,0.92428091,0.087543561,4.415202203,5.155574652
7380,0.499642723,0.528326952,0.274646645,1.999968373,0.961355515,0.088547704,4.330966492,4.610950385
7400,0.586706661,0.591005839,0.285755414,2.501402789,1.126445548,0.092431785,4.67962139,5.221231259
7420,0.612464222,0.60830375,0.288303301,2.658327551,1.17419879,0.093317172,5.170454286,4.924913094
7440,0.506542626,0.532710451,0.27471922,2.037665955,0.972965818,0.088549531,5.051298057,4.117170583
7460,0.494130787,0.522827233,0.272317912,1.969824998,0.94828815,0.08769656,4.653888285,4.446034665
7480,0.514855243,0.537908628,0.274737421,2.083079499,0.986770968,0.088525652,4.579722732,4.414438177
7500,0.519991637,0.540972201,0.274658556,2.111970995,0.995155091,0.08847868,4.532464002,4.74962466
7520,0.49009712,0.517843045,0.269496019,1.9477533,0.936931622,0.086655645,4.442222236,4.433152658
7540,0.514117949,0.534956152,0.271962802,2.079012618,0.980758322,0.087489745,4.496610753,4.862701275
7560,0.592487512,0.588954465,0.280337796,2.536483949,1.125009804,0.090384656,4.628805558,4.717458649
7580,0.544319869,0.554466427,0.273535688,2.251681279,1.033249033,0.087980217,5.119685836,4.549850263
7600,0.500421853,0.521713286,0.266598963,2.004121049,0.949149589,0.085533354,4.986885722,4.455519421
7620,0.488050103,0.511535079,0.263698302,1.936500948,0.92406774,0.084494327,4.571181543,4.371847751
7640,0.499499369,0.51892752,0.264084502,1.999049417,0.943426663,0.084595898,4.252556285,4.516034902
7660,0.534669121,0.543105259,0.267444219,2.196157028,1.00641943,0.085730006,4.310706465,4.877350933
7680,0.503467861,0.51972215,0.262232391,2.020702967,0.946758096,0.083887821,4.798288058,4.266920469
7700,0.452829379,0.481049729,0.253792557,1.748595114,0.851014203,0.080933404,4.690046178,3.887259798
7720,0.450566994,0.478297072,0.252233513,1.736745126,0.844931068,0.080361237,4.146440704,3.914539281
7740,0.461128293,0.4852634,0.252719639,1.791989594,0.862558258,0.080499699,4.002254453,3.972767922
7760,0.470530766,0.491277212,0.252983704,1.841168222,0.877874175,0.080560045,4.11500054,4.183544358
7780,0.485846497,0.501287636,0.253907295,1.924331628,0.903739247,0.080848484,4.128179837,4.025177951
7800,0.470574069,0.489206889,0.250787813,1.841362612,0.874042403,0.079743734,4.128265683,4.201975064
7820,0.492235347,0.503775783,0.252607751,1.95920054,0.911354756,0.08034263,4.139652055,4.439279523
7840,0.506643477,0.513005214,0.253413879,2.037894884,0.93531472,0.080591058,4.219519501,4.507185871
7860,0.48912768,0.499474598,0.250083726,1.94218773,0.901814026,0.079415092,4.631151821,4.089519728
7880,0.452363914,0.471785232,0.244033667,1.7460372,0.833826856,0.077308144,4.634402611,3.983669487
7900,0.496400481,0.502381665,0.248736668,1.981878719,0.910562564,0.078888043,4.193640752,4.413101136
7920,0.575748245,0.554667359,0.256422471,2.433969467,1.047556474,0.081493271,4.097495639,4.593374796
7940,0.55113217,0.537147401,0.252600853,2.290343661,1.002001734,0.080144432,4.530501356,4.340989638
7960,0.520681911,0.515569966,0.248021205,2.115470671,0.946333157,0.078535489,4.833035895,4.224533692
7980,0.502211625,0.501529756,0.244513884,2.013533422,0.911453407,0.077296254,4.677887068,3.774882688
8000,0.508461569,0.504645651,0.244061638,2.047647807,0.92005581,0.077105086,4.447615252,3.866911201
